Date : 2021-06-27 14:49:27
Directory : /Users/alexeimairyn/Desktop/MakeLite/lims-admin
Total : 338 files,  74955 codes, 637 comments, 3334 blanks, all 78926 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/tabs.scss                                      | SCSS             |         96 |          3 |         19 |        118 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/style.scss                                            | SCSS             |         21 |          1 |          2 |         24 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/mixins.scss                                                | SCSS             |         62 |         10 |         11 |         83 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/nprogress/style.scss                                       | SCSS             |         81 |          3 |         16 |        100 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Loader/index.jsx                                       | JavaScript React |         12 |          0 |          3 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Loader/style.module.scss                               | SCSS             |         28 |          0 |          3 |         31 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/MenuLeft/index.jsx                                     | JavaScript React |        458 |          0 |         25 |        483 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/MenuLeft/style.module.scss                             | SCSS             |        965 |         36 |         92 |      1,093 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Sidebar/index.jsx                                      | JavaScript React |        424 |          0 |         12 |        436 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Sidebar/style.module.scss                              | SCSS             |        158 |          1 |         28 |        187 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/SubBar/index.jsx                                       | JavaScript React |         58 |          0 |          5 |         63 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/SubBar/style.module.scss                               | SCSS             |        113 |          1 |         17 |        131 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/TopBar/UserMenu/index.jsx                              | JavaScript React |         53 |          0 |          8 |         61 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/TopBar/UserMenu/style.module.scss                      | SCSS             |         48 |          0 |          9 |         57 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/TopBar/index.jsx                                       | JavaScript React |         29 |          0 |          4 |         33 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/TopBar/style.module.scss                               | SCSS             |         30 |          0 |          4 |         34 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Auth/ForgotPassword/index.jsx                          | JavaScript React |         70 |          0 |          7 |         77 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Auth/Login/index.jsx                                   | JavaScript React |         94 |          0 |          6 |        100 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Auth/RegByEmail/index.jsx                              | JavaScript React |        121 |          0 |         14 |        135 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Auth/RestorePassword/index.jsx                         | JavaScript React |        103 |          0 |          9 |        112 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Auth/style.module.scss                                 | SCSS             |         60 |          2 |         12 |         74 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Errors/404/index.jsx                                   | JavaScript React |         22 |          0 |          3 |         25 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Errors/500/index.jsx                                   | JavaScript React |         54 |          0 |          3 |         57 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/system/Errors/style.module.scss                               | SCSS             |         20 |          2 |          5 |         27 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/DefaultModal/index.jsx                                | JavaScript React |         43 |          0 |          7 |         50 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/DefaultModal/styles.module.scss                       | SCSS             |          7 |          0 |          2 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Drawers/index.jsx                                     | JavaScript React |         38 |          1 |          6 |         45 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/IntakeLog/IntakeReceiptLogModal/index.jsx             | JavaScript React |        236 |          0 |         10 |        246 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/IntakeLog/IntakeReceiptLogModal/styles.module.scss    | SCSS             |         28 |          0 |          5 |         33 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Inventory/ControlTube/index.jsx                       | JavaScript React |         52 |          1 |          3 |         56 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Inventory/ControlTube/styles.module.scss              | SCSS             |         31 |          0 |          8 |         39 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Inventory/index.js                                    | JavaScript       |          1 |          1 |          1 |          3 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Modals/Confirm/index.jsx                              | JavaScript React |         27 |          0 |          9 |         36 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Modals/HelperModal/index.jsx                          | JavaScript React |         47 |          0 |         10 |         57 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Modals/index.jsx                                      | JavaScript React |         25 |          0 |          6 |         31 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Pools/PoolTable/index.jsx                             | JavaScript React |        277 |         46 |         15 |        338 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Pools/PoolTable/styles.module.scss                    | SCSS             |         35 |          0 |         11 |         46 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Rackboard/index.jsx                                   | JavaScript React |        310 |          0 |         17 |        327 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Rackboard/styles.module.scss                          | SCSS             |         36 |          0 |          9 |         45 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Scans/InvalidateModal/index.jsx                       | JavaScript React |         75 |          0 |          5 |         80 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Scans/InvalidateModal/style.module.scss               | SCSS             |         22 |          0 |          6 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Scans/PoolStatistic/index.jsx                         | JavaScript React |         53 |          0 |          5 |         58 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Scans/ScanStatistic/index.jsx                         | JavaScript React |         73 |          1 |          5 |         79 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Scans/SessionStatistic/index.jsx                      | JavaScript React |         83 |          1 |          4 |         88 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/Scans/styles.module.scss                              | SCSS             |         28 |          0 |          5 |         33 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/SingleSessionTable/index.jsx                          | JavaScript React |         93 |          1 |          7 |        101 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/SingleSessionTable/styles.module.scss                 | SCSS             |         13 |          0 |          5 |         18 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/companies/CompanyModal/index.jsx                      | JavaScript React |        166 |          1 |          3 |        170 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/companies/CompanyModal/styles.module.scss             | SCSS             |         31 |          0 |          8 |         39 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/companies/ContactResultModal/index.jsx                | JavaScript React |        106 |          7 |         10 |        123 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/companies/ContactResultModal/styles.module.scss       | SCSS             |         40 |          0 |         10 |         50 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/widgets/companies/index.js                                    | JavaScript       |          2 |          1 |          1 |          4 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/global.scss                                                              | SCSS             |          4 |          0 |          1 |          5 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/hooks/useClickOutside.js                                                 | JavaScript       |         21 |          7 |          6 |         34 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/hooks/useKeyPress.js                                                     | JavaScript       |         24 |          1 |          3 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/hooks/useWindowSize.js                                                   | JavaScript       |         26 |          7 |          9 |         42 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/index.js                                                                 | JavaScript       |         43 |          5 |          6 |         54 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/layouts/App/index.jsx                                                    | JavaScript React |         74 |          0 |          6 |         80 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/layouts/App/styles.module.scss                                           | SCSS             |          5 |          0 |          1 |          6 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/layouts/Auth/index.jsx                                                   | JavaScript React |         17 |          0 |          3 |         20 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/layouts/Public/index.jsx                                                 | JavaScript React |         10 |          0 |          3 |         13 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/layouts/index.jsx                                                        | JavaScript React |         83 |          9 |         12 |        104 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/AnalysisRuns/index.jsx                                             | JavaScript React |        154 |          0 |         15 |        169 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/AnalysisRuns/styles.module.scss                                    | SCSS             |         16 |          0 |          6 |         22 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Companies/Company/index.jsx                                        | JavaScript React |        277 |          0 |         16 |        293 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Companies/Company/styles.module.scss                               | SCSS             |         19 |          0 |          7 |         26 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Companies/index.jsx                                                | JavaScript React |        256 |          0 |         20 |        276 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Companies/styles.module.scss                                       | SCSS             |         50 |          0 |         10 |         60 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Intake/index.jsx                                                   | JavaScript React |        150 |         29 |         14 |        193 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Intake/run/index.jsx                                               | JavaScript React |         68 |          0 |         12 |         80 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Intake/run/styles.module.scss                                      | SCSS             |         24 |          0 |          4 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Intake/styles.module.scss                                          | SCSS             |         20 |          0 |          3 |         23 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/IntakeLims/index.jsx                                               | JavaScript React |         97 |          2 |         11 |        110 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/IntakeLims/run/index.jsx                                           | JavaScript React |         79 |          0 |         13 |         92 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/IntakeLims/run/styles.module.scss                                  | SCSS             |         24 |          0 |          4 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/IntakeLims/styles.module.scss                                      | SCSS             |         20 |          0 |          3 |         23 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/IntakeReceiptLog/index.jsx                                         | JavaScript React |        220 |          2 |         18 |        240 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/IntakeReceiptLog/styles.module.scss                                | SCSS             |         16 |          0 |          3 |         19 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Inventory/index.jsx                                                | JavaScript React |        206 |          0 |         17 |        223 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Inventory/styles.module.scss                                       | SCSS             |         54 |          0 |         11 |         65 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Management/Company/index.jsx                                       | JavaScript React |        277 |          0 |         16 |        293 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Management/Company/styles.module.scss                              | SCSS             |         19 |          0 |          7 |         26 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Management/index.jsx                                               | JavaScript React |        352 |          0 |         22 |        374 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Management/styles.module.scss                                      | SCSS             |         54 |          0 |         11 |         65 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/PoolScan/index.jsx                                                 | JavaScript React |        114 |          1 |         13 |        128 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/PoolScan/styles.module.scss                                        | SCSS             |         41 |          0 |          4 |         45 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Pools/index.jsx                                                    | JavaScript React |         76 |          0 |         12 |         88 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Pools/styles.module.scss                                           | SCSS             |         22 |          0 |          7 |         29 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Profile/index.jsx                                                  | JavaScript React |         12 |          0 |          3 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Profile/style.module.scss                                          | SCSS             |         19 |          0 |          4 |         23 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ProfileInfo/index.jsx                                              | JavaScript React |         91 |          0 |          6 |         97 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ProfileInfo/style.module.scss                                      | SCSS             |         36 |          0 |          9 |         45 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/RackScan/Labeled/index.jsx                                         | JavaScript React |         11 |          0 |          3 |         14 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/RackScan/Labeled/styles.module.scss                                | SCSS             |          7 |          0 |          2 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/RackScan/index.jsx                                                 | JavaScript React |        133 |          0 |         14 |        147 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/RackScan/styles.module.scss                                        | SCSS             |         44 |          0 |         10 |         54 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/RackScans/index.jsx                                                | JavaScript React |        219 |          0 |         19 |        238 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/RackScans/styles.module.scss                                       | SCSS             |         22 |          0 |          7 |         29 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Runs/index.jsx                                                     | JavaScript React |        185 |          1 |         15 |        201 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Runs/run/index.jsx                                                 | JavaScript React |         82 |          0 |         13 |         95 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Runs/run/styles.module.scss                                        | SCSS             |         24 |          0 |          4 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Runs/styles.module.scss                                            | SCSS             |         24 |          0 |          4 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Scan/Labeled/index.jsx                                             | JavaScript React |         11 |          0 |          3 |         14 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Scan/Labeled/styles.module.scss                                    | SCSS             |          7 |          0 |          2 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Scan/index.jsx                                                     | JavaScript React |        650 |          3 |         47 |        700 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Scan/styles.module.scss                                            | SCSS             |         90 |          0 |         19 |        109 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ScanSession/index.jsx                                              | JavaScript React |        152 |          1 |         22 |        175 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ScanSession/styles.module.scss                                     | SCSS             |          6 |          0 |          2 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ScanSession/utils.js                                               | JavaScript       |          8 |          0 |          2 |         10 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ScanSessions/index.jsx                                             | JavaScript React |        325 |          1 |         32 |        358 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/ScanSessions/styles.module.scss                                    | SCSS             |         19 |          0 |          6 |         25 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Search/index.jsx                                                   | JavaScript React |         98 |          0 |         10 |        108 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Search/styles.module.scss                                          | SCSS             |         20 |          0 |          5 |         25 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Settings/Permissions/index.jsx                                     | JavaScript React |        309 |          1 |         10 |        320 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/Settings/Permissions/styles.module.scss                            | SCSS             |         12 |          0 |          3 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/LayoutStage/index.jsx                           | JavaScript React |        118 |          1 |         12 |        131 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/LayoutStage/styles.module.scss                  | SCSS             |          9 |          0 |          3 |         12 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/LayoutStage/utils.js                            | JavaScript       |          9 |          0 |          2 |         11 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/PoolRacksStage/PoolRack/index.jsx               | JavaScript React |         64 |          3 |          9 |         76 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/PoolRacksStage/PoolRack/styles.module.scss      | SCSS             |          1 |          0 |          1 |          2 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/PoolRacksStage/PoolRackTable/index.jsx          | JavaScript React |        196 |         41 |         28 |        265 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/PoolRacksStage/PoolRackTable/styles.module.scss | SCSS             |         15 |          0 |          5 |         20 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/PoolRacksStage/index.jsx                        | JavaScript React |        142 |          2 |         19 |        163 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/PoolRacksStage/styles.module.scss               | SCSS             |          6 |          0 |          2 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/RunStage/index.jsx                              | JavaScript React |         75 |          1 |          9 |         85 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/RunStage/styles.module.scss                     | SCSS             |          1 |          0 |          1 |          2 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/RunStage/utils.js                               | JavaScript       |          7 |          0 |          2 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/index.jsx                                       | JavaScript React |        109 |          1 |         14 |        124 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/params.js                                       | JavaScript       |          7 |          0 |          2 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/TemplateGeneration/styles.module.scss                              | SCSS             |         17 |          0 |          3 |         20 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/password/index.jsx                                                 | JavaScript React |        103 |          0 |          8 |        111 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/password/style.module.scss                                         | SCSS             |         36 |          0 |          9 |         45 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/system/404/index.jsx                                               | JavaScript React |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/system/500/index.jsx                                               | JavaScript React |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/system/forgot-password/index.jsx                                   | JavaScript React |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/system/login/index.jsx                                             | JavaScript React |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/system/reg-by-email/index.jsx                                      | JavaScript React |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/pages/system/restore-password/index.jsx                                  | JavaScript React |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/analysisRuns/actions.js                                            | JavaScript       |          6 |          0 |          2 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/analysisRuns/reducers.js                                           | JavaScript       |         41 |          1 |          4 |         46 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/analysisRuns/sagas.js                                              | JavaScript       |         21 |          0 |          4 |         25 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/companies/actions.js                                               | JavaScript       |         31 |          0 |         11 |         42 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/companies/reducers.js                                              | JavaScript       |        201 |          0 |          5 |        206 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/companies/sagas.js                                                 | JavaScript       |        117 |          0 |         13 |        130 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/drawer/actions.js                                                  | JavaScript       |          8 |          0 |          3 |         11 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/drawer/reducers.js                                                 | JavaScript       |         50 |          0 |          3 |         53 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/factories/generateRequestActions.js                                | JavaScript       |         22 |          0 |          6 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/factories/single.js                                                | JavaScript       |         30 |          0 |          2 |         32 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/helpers/actions.js                                                 | JavaScript       |          5 |          0 |          3 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/helpers/reducers.js                                                | JavaScript       |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/helpers/sagas.js                                                   | JavaScript       |         14 |          0 |          3 |         17 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intake/actions.js                                                  | JavaScript       |          6 |          0 |          2 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intake/reducers.js                                                 | JavaScript       |         33 |          0 |          3 |         36 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intake/sagas.js                                                    | JavaScript       |         21 |          0 |          4 |         25 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intake/selector.js                                                 | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeLims/actions.js                                              | JavaScript       |          6 |          0 |          2 |          8 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeLims/reducers.js                                             | JavaScript       |         39 |          0 |          3 |         42 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeLims/sagas.js                                                | JavaScript       |         22 |          0 |          3 |         25 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeLims/selector.js                                             | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeReceiptLog/actions.js                                        | JavaScript       |          6 |          0 |          3 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeReceiptLog/reducers.js                                       | JavaScript       |         82 |          0 |          4 |         86 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/intakeReceiptLog/sagas.js                                          | JavaScript       |         85 |          0 |         18 |        103 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/inventory/actions.js                                               | JavaScript       |          6 |          0 |          3 |          9 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/inventory/reducers.js                                              | JavaScript       |         69 |          0 |          5 |         74 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/inventory/sagas.js                                                 | JavaScript       |         59 |          0 |          8 |         67 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/management/actions.js                                              | JavaScript       |         26 |          0 |          8 |         34 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/management/reducers.js                                             | JavaScript       |        133 |          5 |          5 |        143 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/management/sagas.js                                                | JavaScript       |         77 |          0 |          9 |         86 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/menu/actions.js                                                    | JavaScript       |          5 |          0 |          2 |          7 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/menu/reducers.js                                                   | JavaScript       |         12 |          0 |          3 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/menu/sagas.js                                                      | JavaScript       |         18 |          0 |          4 |         22 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/modal/actions.js                                                   | JavaScript       |         12 |          0 |          3 |         15 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/modal/reducers.js                                                  | JavaScript       |         65 |          0 |          2 |         67 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/pools/actions.js                                                   | JavaScript       |         21 |          0 |          7 |         28 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/pools/reducers.js                                                  | JavaScript       |        212 |          5 |         10 |        227 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/pools/sagas.js                                                     | JavaScript       |        131 |          0 |         15 |        146 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/racks/actions.js                                                   | JavaScript       |          9 |          0 |          3 |         12 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/racks/reducers.js                                                  | JavaScript       |        147 |          0 |          8 |        155 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/racks/sagas.js                                                     | JavaScript       |        101 |          0 |         18 |        119 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/racks/selectors.js                                                 | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/reducers.js                                                        | JavaScript       |         48 |          0 |          2 |         50 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/runs/actions.js                                                    | JavaScript       |          9 |          0 |          2 |         11 |
| /Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/redux/runs/reducers.js                                                   | JavaScript       |         84 |          2 |          4 |         90 |
